ID,Area_px2,Area_um2,Perimetro_px,Diametro_px,Diametro_um,Eccentricity,Solidity
8672,372.00,9.775955,172.15,21.7634,3.528049,0.4938,0.5391
8673,146.00,3.836800,72.02,13.6343,2.210241,0.9047,0.6697
8674,31.00,0.814663,20.38,6.2825,1.018460,0.7710,0.9394
8675,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8676,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8677,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8678,98.00,2.575386,46.18,11.1704,1.810824,0.8472,0.7538
8679,73.00,1.918400,46.18,9.6409,1.562876,0.9486,0.6518
8680,120.00,3.153534,66.81,12.3608,2.003797,0.9469,0.5687
8681,78.00,2.049797,41.36,9.9656,1.615513,0.9012,0.7879
8682,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8683,26.00,0.683266,18.97,5.7536,0.932717,0.7640,0.9286
8684,50.00,1.313972,30.87,7.9788,1.293446,0.8752,0.8333
8685,39.00,1.024899,25.63,7.0467,1.142340,0.9252,0.9286
8686,34.00,0.893501,24.80,6.5795,1.066603,0.8809,0.7727
8687,45.00,1.182575,30.28,7.5694,1.227070,0.9228,0.7377
8688,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8689,21.00,0.551868,16.97,5.1709,0.838249,0.7071,0.9130
8690,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8691,25.00,0.656986,17.14,5.6419,0.914604,0.6935,0.9615
8692,81.00,2.128635,39.36,10.1554,1.646288,0.7437,0.8100
8693,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8694,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8695,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8696,43.00,1.130016,27.46,7.3993,1.199492,0.8193,0.8600
8697,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8698,38.00,0.998619,29.87,6.9558,1.127600,0.8959,0.6909
8699,54.00,1.419090,26.63,8.2919,1.344188,0.8622,0.7397
8700,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8701,80.00,2.102356,47.01,10.0925,1.636094,0.9581,0.8000
8702,101.00,2.654224,63.95,11.3401,1.838332,0.9366,0.5642
8703,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8704,45.00,1.182575,27.21,7.5694,1.227070,0.8616,0.9000
8705,71.00,1.865841,38.77,9.5079,1.541318,0.6393,0.6228
8706,39.00,1.024899,26.42,7.0467,1.142340,0.8469,0.8125
8707,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8708,90.00,2.365150,43.60,10.7047,1.735339,0.9440,0.9278
8709,314.00,8.251747,178.49,19.9949,3.241366,0.9561,0.4349
8710,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8711,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8712,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8713,66.00,1.734444,36.53,9.1670,1.486056,0.8945,0.8571
8714,21.00,0.551868,14.73,5.1709,0.838249,0.5216,1.0000
8715,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8716,79.00,2.076077,43.77,10.0293,1.625836,0.9725,0.8876
8717,21.00,0.551868,14.73,5.1709,0.838249,0.5216,1.0000
8718,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8719,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8720,124.00,3.258652,63.78,12.5651,2.036920,0.8620,0.6359
8721,59.00,1.550488,31.46,8.6672,1.405042,0.8529,0.8676
8722,50.00,1.313972,28.28,7.9788,1.293446,0.9724,0.8065
8723,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8724,181.00,4.756580,70.23,15.1808,2.460948,0.8547,0.7211
8725,32.00,0.840942,18.97,6.3831,1.034757,0.9099,0.8000
8726,23.00,0.604427,16.97,5.4115,0.877258,0.5205,0.9583
8727,21.00,0.551868,14.73,5.1709,0.838249,0.5216,1.0000
8728,214.00,5.623802,96.61,16.5068,2.675901,0.9554,0.6167
8729,41.00,1.077457,28.66,7.2252,1.171265,0.9070,0.7885
8730,30.00,0.788383,21.80,6.1804,1.001899,0.9173,0.8824
8731,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8732,23.00,0.604427,16.14,5.4115,0.877258,0.7087,0.9583
8733,109.00,2.864460,61.74,11.7806,1.909750,0.9585,0.6566
8734,49.00,1.287693,24.38,7.8987,1.280446,0.6072,0.9608
8735,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8736,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8737,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8738,29.00,0.762104,18.97,6.0765,0.985059,0.2091,0.9355
8740,29.00,0.762104,18.97,6.0765,0.985059,0.8569,0.8529
8741,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8742,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8743,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8744,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8745,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8746,21.00,0.551868,16.97,5.1709,0.838249,0.7071,0.9130
8747,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8748,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8749,23.00,0.604427,16.14,5.4115,0.877258,0.7087,0.9583
8750,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8751,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8752,26.00,0.683266,17.56,5.7536,0.932717,0.7642,0.9630
8753,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8754,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8755,21.00,0.551868,14.73,5.1709,0.838249,0.5216,1.0000
8756,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8757,28.00,0.735825,18.97,5.9708,0.967926,0.6707,0.9333
8758,74.00,1.944679,45.36,9.7067,1.573545,0.9572,0.7115
8759,43.00,1.130016,29.25,7.3993,1.199492,0.9179,0.7963
8760,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8761,23.00,0.604427,16.14,5.4115,0.877258,0.7087,0.9583
8762,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8763,65.00,1.708164,36.53,9.0973,1.474755,0.7366,0.7927
8764,670.00,17.607231,319.29,29.2074,4.734789,0.8593,0.3530
8765,27.00,0.709545,16.97,5.8632,0.950485,0.9071,0.7714
8766,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8767,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8768,30.00,0.788383,18.14,6.1804,1.001899,0.6544,0.9677
8770,21.00,0.551868,16.97,5.1709,0.838249,0.7071,0.9130
8771,225.00,5.912876,113.20,16.9257,2.743813,0.9626,0.3927
8772,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8773,21.00,0.551868,14.73,5.1709,0.838249,0.5216,1.0000
8774,34.00,0.893501,24.63,6.5795,1.066603,0.8816,0.8293
