ID,Area(px2),Perimetro(px),DiametroEquivalente(px),Eccentricidad,Solidity
670,53.00,30.63,8.21,0.9127,0.8154
671,27.00,17.56,5.86,0.7503,1.0000
672,18.00,14.14,4.79,0.7071,1.0000
673,26.00,17.56,5.75,0.5718,0.9630
674,18.00,13.31,4.79,0.3974,1.0000
675,13.00,11.31,4.07,0.0000,1.0000
676,13.00,11.31,4.07,0.0000,1.0000
677,13.00,11.31,4.07,0.0000,1.0000
678,21.00,14.73,5.17,0.5216,1.0000
680,21.00,14.73,5.17,0.5216,1.0000
681,22.00,15.73,5.29,0.6053,0.9565
682,13.00,11.31,4.07,0.0000,1.0000
683,29.00,18.97,6.08,0.6941,0.9667
684,44.00,28.04,7.48,0.9295,0.7333
685,56.00,36.32,8.44,0.9013,0.6914
686,13.00,11.31,4.07,0.0000,1.0000
687,53.00,25.80,8.21,0.6156,0.9298
688,13.00,11.31,4.07,0.0000,1.0000
689,30.00,18.14,6.18,0.6325,1.0000
691,13.00,11.31,4.07,0.0000,1.0000
692,43.00,22.97,7.40,0.7891,0.9556
693,18.00,14.14,4.79,0.7071,1.0000
694,113.00,58.33,11.99,0.8707,0.6807
695,30.00,21.80,6.18,0.9173,0.8824
696,13.00,11.31,4.07,0.0000,1.0000
697,301.00,128.97,19.58,0.7954,0.4951
698,18.00,14.14,4.79,0.7071,1.0000
699,13.00,11.31,4.07,0.0000,1.0000
700,23.00,16.14,5.41,0.7087,0.9583
701,13.00,11.31,4.07,0.0000,1.0000
702,21.00,14.73,5.17,0.5216,1.0000
703,13.00,11.31,4.07,0.0000,1.0000
704,18.00,14.14,4.79,0.7071,1.0000
705,43.00,22.97,7.40,0.5626,0.9773
706,13.00,11.31,4.07,0.0000,1.0000
707,35.00,19.80,6.68,0.9525,0.7955
708,13.00,11.31,4.07,0.0000,1.0000
709,64.00,44.60,9.03,0.9185,0.6598
710,52.00,32.28,8.14,0.8657,0.7536
711,13.00,11.31,4.07,0.0000,1.0000
712,13.00,11.31,4.07,0.0000,1.0000
714,13.00,11.31,4.07,0.0000,1.0000
715,13.00,11.31,4.07,0.0000,1.0000
716,13.00,11.31,4.07,0.0000,1.0000
717,24.00,15.31,5.53,0.0000,1.0000
718,24.00,18.97,5.53,0.8212,0.8571
719,21.00,14.73,5.17,0.5216,1.0000
720,13.00,11.31,4.07,0.0000,1.0000
721,13.00,11.31,4.07,0.0000,1.0000
722,71.00,42.18,9.51,0.9215,0.7245
723,85.00,42.18,10.40,0.8797,0.7328
724,13.00,11.31,4.07,0.0000,1.0000
725,40.00,26.63,7.14,0.8804,0.8333
726,13.00,11.31,4.07,0.0000,1.0000
727,18.00,13.31,4.79,0.3974,1.0000
728,56.00,35.70,8.44,0.9295,0.7671
729,13.00,11.31,4.07,0.0000,1.0000
730,29.00,20.38,6.08,0.7512,0.9062
731,56.00,35.11,8.44,0.9102,0.7887
732,13.00,11.31,4.07,0.0000,1.0000
733,13.00,11.31,4.07,0.0000,1.0000
734,18.00,13.31,4.79,0.3974,1.0000
735,13.00,11.31,4.07,0.0000,1.0000
736,70.00,43.77,9.44,0.9593,0.6931
737,79.00,47.01,10.03,0.8709,0.7248
738,53.00,32.28,8.21,0.8862,0.8413
739,38.00,22.38,6.96,0.7693,0.9048
740,21.00,14.73,5.17,0.5216,1.0000
741,77.00,33.46,9.90,0.5836,0.9277
742,13.00,11.31,4.07,0.0000,1.0000
743,28.00,18.97,5.97,0.8343,0.9655
744,161.00,74.05,14.32,0.6218,0.7931
745,28.00,19.80,5.97,0.8944,1.0000
746,18.00,13.31,4.79,0.3974,1.0000
747,28.00,18.97,5.97,0.6707,0.9333
748,13.00,11.31,4.07,0.0000,1.0000
749,21.00,14.73,5.17,0.5216,1.0000
750,28.00,24.21,5.97,0.9331,0.7368
751,246.00,108.75,17.70,0.5574,0.5629
752,13.00,11.31,4.07,0.0000,1.0000
753,36.00,25.83,6.77,0.8482,0.7826
754,18.00,14.14,4.79,0.7071,1.0000
755,34.00,20.38,6.58,0.4644,0.9444
756,18.00,13.31,4.79,0.3974,1.0000
757,21.00,16.97,5.17,0.7071,0.9130
758,13.00,11.31,4.07,0.0000,1.0000
759,13.00,11.31,4.07,0.0000,1.0000
760,35.00,19.80,6.68,0.9153,0.7447
761,18.00,14.14,4.79,0.7071,1.0000
763,60.00,27.21,8.74,0.4884,0.9677
764,56.00,28.04,8.44,0.9439,0.7273
765,12.00,11.66,3.91,0.8427,1.0000
766,100.00,61.91,11.28,0.8996,0.5988
767,13.00,11.31,4.07,0.0000,1.0000
768,24.00,16.14,5.53,0.6725,1.0000
769,18.00,13.31,4.79,0.3974,1.0000
770,13.00,11.31,4.07,0.0000,1.0000
771,42.00,23.21,7.31,0.8977,0.8077
772,31.00,18.14,6.28,0.6325,1.0000
773,13.00,11.31,4.07,0.0000,1.0000
774,13.00,11.31,4.07,0.0000,1.0000
775,13.00,11.31,4.07,0.0000,1.0000
776,13.00,11.31,4.07,0.0000,1.0000
777,18.00,13.31,4.79,0.3974,1.0000
778,57.00,31.46,8.52,0.9234,0.8143
779,67.00,40.11,9.24,0.9120,0.5726
780,21.00,16.97,5.17,0.7071,0.9130
781,62.00,33.46,8.88,0.7613,0.8052
782,29.00,18.97,6.08,0.8569,0.8529
783,13.00,11.31,4.07,0.0000,1.0000
784,13.00,11.31,4.07,0.0000,1.0000
785,57.00,35.94,8.52,0.8669,0.7500
786,18.00,14.14,4.79,0.7071,1.0000
787,23.00,16.97,5.41,0.8367,1.0000
788,13.00,11.31,4.07,0.0000,1.0000
789,13.00,11.31,4.07,0.0000,1.0000
790,62.00,40.66,8.88,0.8466,0.6667
791,13.00,11.31,4.07,0.0000,1.0000
792,13.00,11.31,4.07,0.0000,1.0000
793,24.00,16.14,5.53,0.6725,1.0000
794,63.00,33.70,8.96,0.8982,0.8630
795,18.00,13.31,4.79,0.3974,1.0000
796,62.00,44.94,8.88,0.9013,0.6327
797,13.00,11.31,4.07,0.0000,1.0000
798,18.00,14.14,4.79,0.7071,1.0000
799,30.00,16.97,6.18,0.9402,0.7895
800,13.00,11.31,4.07,0.0000,1.0000
801,29.00,19.80,6.08,0.8216,0.8286
802,34.00,21.80,6.58,0.9196,0.7907
803,13.00,11.31,4.07,0.0000,1.0000
804,32.00,20.97,6.38,0.8577,0.8889
805,23.00,16.14,5.41,0.7087,0.9583
806,18.00,13.31,4.79,0.3974,1.0000
807,64.00,32.38,9.03,0.8950,0.8889
808,13.00,11.31,4.07,0.0000,1.0000
809,28.00,24.21,5.97,0.9331,0.7368
810,18.00,15.66,4.79,0.9098,1.0000
811,13.00,11.31,4.07,0.0000,1.0000
812,13.00,11.31,4.07,0.0000,1.0000
813,13.00,11.31,4.07,0.0000,1.0000
814,18.00,14.14,4.79,0.7071,1.0000
815,38.00,25.21,6.96,0.8940,0.8444
816,28.00,19.80,5.97,0.7244,0.9333
817,34.00,22.80,6.58,0.7029,0.8500
818,23.00,16.97,5.41,0.8367,1.0000
819,92.00,47.01,10.82,0.5856,0.7132
820,13.00,11.31,4.07,0.0000,1.0000
821,13.00,11.31,4.07,0.0000,1.0000
822,52.00,26.63,8.14,0.9428,0.7647
823,13.00,11.31,4.07,0.0000,1.0000
824,13.00,11.31,4.07,0.0000,1.0000
825,13.00,11.31,4.07,0.0000,1.0000
826,13.00,11.31,4.07,0.0000,1.0000
827,24.00,16.14,5.53,0.6725,1.0000
828,18.00,14.14,4.79,0.7071,1.0000
829,13.00,11.31,4.07,0.0000,1.0000
830,24.00,16.14,5.53,0.4246,1.0000
831,13.00,11.31,4.07,0.0000,1.0000
832,13.00,11.31,4.07,0.0000,1.0000
833,30.00,18.97,6.18,0.5461,0.9375
834,21.00,14.73,5.17,0.5216,1.0000
835,13.00,11.31,4.07,0.0000,1.0000
836,23.00,16.14,5.41,0.7087,0.9583
837,29.00,18.97,6.08,0.6010,0.9667
838,13.00,11.31,4.07,0.0000,1.0000
839,13.00,11.31,4.07,0.0000,1.0000
840,41.00,25.21,7.23,0.8808,0.8723
841,13.00,11.31,4.07,0.0000,1.0000
842,48.00,24.63,7.82,0.9208,0.7619
843,13.00,11.31,4.07,0.0000,1.0000
844,18.00,14.14,4.79,0.7071,1.0000
845,18.00,13.31,4.79,0.3974,1.0000
846,13.00,11.31,4.07,0.0000,1.0000
847,18.00,13.31,4.79,0.3974,1.0000
848,27.00,17.56,5.86,0.7503,1.0000
849,13.00,11.31,4.07,0.0000,1.0000
850,13.00,11.31,4.07,0.0000,1.0000
851,23.00,16.14,5.41,0.7087,0.9583
852,74.00,36.53,9.71,0.9493,0.9737
853,28.00,24.21,5.97,0.9331,0.7368
854,18.00,13.31,4.79,0.3974,1.0000
855,18.00,14.14,4.79,0.7071,1.0000
856,35.00,24.11,6.68,0.9189,0.8537
857,18.00,13.31,4.79,0.3974,1.0000
858,28.00,19.80,5.97,0.8944,1.0000
859,27.00,16.97,5.86,0.9071,0.7714
860,18.00,14.14,4.79,0.7071,1.0000
861,48.00,26.63,7.82,0.9319,0.8000
862,4152.00,429.32,72.71,0.7112,0.7474
863,111.00,44.77,11.89,0.5616,0.8473
864,30.00,22.63,6.18,0.8946,0.7500
865,13.00,11.31,4.07,0.0000,1.0000
866,18.00,14.14,4.79,0.7071,1.0000
867,18.00,14.14,4.79,0.7071,1.0000
868,3959.00,413.97,71.00,0.6997,0.7847
869,41.00,22.63,7.23,0.0000,1.0000
870,69.00,35.46,9.37,0.9172,0.8313
871,13.00,11.31,4.07,0.0000,1.0000
872,13.00,11.31,4.07,0.0000,1.0000
873,157.00,68.23,14.14,0.7889,0.6856
875,13.00,11.31,4.07,0.0000,1.0000
876,3650.00,329.99,68.17,0.6157,0.8372
877,13.00,11.31,4.07,0.0000,1.0000
878,23.00,16.97,5.41,0.8367,1.0000
879,13.00,11.31,4.07,0.0000,1.0000
880,137.00,76.64,13.21,0.9674,0.6143
882,13.00,11.31,4.07,0.0000,1.0000
883,21.00,14.73,5.17,0.5216,1.0000
884,18.00,14.14,4.79,0.7071,1.0000
885,27.00,16.73,5.86,0.5281,1.0000
886,13.00,11.31,4.07,0.0000,1.0000
887,13.00,11.31,4.07,0.0000,1.0000
888,18.00,14.14,4.79,0.7071,1.0000
889,3760.00,289.24,69.19,0.6533,0.8914
890,13.00,11.31,4.07,0.0000,1.0000
891,13.00,11.31,4.07,0.0000,1.0000
893,13.00,11.31,4.07,0.0000,1.0000
895,40.00,22.97,7.14,0.7716,0.9302
896,29.00,18.97,6.08,0.8569,0.8529
897,29.00,18.14,6.08,0.6302,0.9667
898,29.00,18.14,6.08,0.6302,0.9667
899,18.00,13.31,4.79,0.3974,1.0000
