ID,Area(px2),Perimetro(px),DiametroEquivalente(px),Eccentricidad,Solidity
219,18.00,14.14,4.79,0.7071,1.0000
220,13.00,11.31,4.07,0.0000,1.0000
221,28.00,17.56,5.97,0.4872,1.0000
222,13.00,11.31,4.07,0.0000,1.0000
223,13.00,11.31,4.07,0.0000,1.0000
224,18.00,14.14,4.79,0.7071,1.0000
225,43.00,31.46,7.40,0.9396,0.7049
226,36.00,23.21,6.77,0.6480,0.8780
227,18.00,13.31,4.79,0.3974,1.0000
228,13.00,11.31,4.07,0.0000,1.0000
229,412.00,171.49,22.90,0.9628,0.5000
230,18.00,14.14,4.79,0.7071,1.0000
231,13.00,11.31,4.07,0.0000,1.0000
232,38.00,22.38,6.96,0.7191,0.9268
233,78.00,40.77,9.97,0.7594,0.6667
234,82.00,48.22,10.22,0.9154,0.6891
235,13.00,11.31,4.07,0.0000,1.0000
236,13.00,11.31,4.07,0.0000,1.0000
237,21.00,14.73,5.17,0.5216,1.0000
238,18.00,13.31,4.79,0.3974,1.0000
239,29.00,19.80,6.08,0.8216,0.8286
240,18.00,13.31,4.79,0.3974,1.0000
242,31.00,20.38,6.28,0.5486,0.9118
243,49.00,30.87,7.90,0.8763,0.8033
244,13.00,11.31,4.07,0.0000,1.0000
245,13.00,11.31,4.07,0.0000,1.0000
246,26.00,17.56,5.75,0.7642,0.9630
247,13.00,11.31,4.07,0.0000,1.0000
248,44.00,27.46,7.48,0.9518,0.7857
249,21.00,14.73,5.17,0.5216,1.0000
250,41.00,27.63,7.23,0.8657,0.7885
251,18.00,13.31,4.79,0.3974,1.0000
252,213.00,83.20,16.47,0.9028,0.7053
253,18.00,13.31,4.79,0.3974,1.0000
254,13.00,11.31,4.07,0.0000,1.0000
255,18.00,14.14,4.79,0.7071,1.0000
256,13.00,11.31,4.07,0.0000,1.0000
257,18.00,13.31,4.79,0.3974,1.0000
258,94.00,55.88,10.94,0.9663,0.6573
259,13.00,11.31,4.07,0.0000,1.0000
260,41.00,25.21,7.23,0.9013,0.9111
261,13.00,11.31,4.07,0.0000,1.0000
262,32.00,22.52,6.38,0.8067,0.9143
263,13.00,11.31,4.07,0.0000,1.0000
264,67.00,42.77,9.24,0.9110,0.6700
265,107.00,56.91,11.67,0.5694,0.6257
266,46.00,27.46,7.65,0.9099,0.7797
267,18.00,14.14,4.79,0.7071,1.0000
268,22.00,16.14,5.29,0.7508,0.9167
269,56.00,30.87,8.44,0.9143,0.8235
270,30.00,18.14,6.18,0.2599,0.9677
271,13.00,11.31,4.07,0.0000,1.0000
272,13.00,11.31,4.07,0.0000,1.0000
273,18.00,14.14,4.79,0.7071,1.0000
274,13.00,11.31,4.07,0.0000,1.0000
275,60.00,34.46,8.74,0.9028,0.8219
276,13.00,11.31,4.07,0.0000,1.0000
278,33.00,27.04,6.48,0.9133,0.7021
280,13.00,11.31,4.07,0.0000,1.0000
281,51.00,27.80,8.06,0.8578,0.9107
282,49.00,28.87,7.90,0.9158,0.7538
283,18.00,13.31,4.79,0.3974,1.0000
284,37.00,24.63,6.86,0.8620,0.8810
285,18.00,14.14,4.79,0.7071,1.0000
286,13.00,11.31,4.07,0.0000,1.0000
287,18.00,14.14,4.79,0.7071,1.0000
288,13.00,11.31,4.07,0.0000,1.0000
289,27.00,16.97,5.86,0.9071,0.7714
290,13.00,11.31,4.07,0.0000,1.0000
