Bin_start_um,Bin_end_um,Count
2.8300,7.4637,80
7.4637,12.0975,30
12.0975,16.7312,14
16.7312,21.3649,9
21.3649,25.9987,1
25.9987,30.6324,1
30.6324,35.2661,2
35.2661,39.8999,2
39.8999,44.5336,0
44.5336,49.1673,0
49.1673,53.8011,0
53.8011,58.4348,1
58.4348,63.0686,0
63.0686,67.7023,1
